archive,sha256,months,status
GBPUSD COLAB1.zip,6c40b92cb05ef8df8598f71e4b1b4792e9fd8e8323289143ade6aafc2bd69c49,2024-01..2024-06,VERIFIED
GBPUSD COLAB2.zip,ac634f2565682f100744f77e94baad99f131c9fbd3be5fb026402cdc8f580a1a,2024-07..2024-11,VERIFIED
GBPUSD COLAB3.zip,7d0eb9a1b889dcd6b7417acce79c4febeaf5ab2028bfa8198e01824e9c2efdf,2024-12..2025-03 + 2025-08,VERIFIED
GBPUSD COLAB4.zip,391256c859911e1a609cb75abf10a866fcfcce975c57d7d367ed2f91046d17dd,2025-04..2025-07,VERIFIED
GBPUSD COLAB5.zip,38f1fd2ba9a5eee7c06fb802d7b2b8802de73511baf08d39b0e0cd1fed90c047,2025-09..2026-02,VERIFIED
GBPUSD COLAB6.zip,47ed8aafcb000be12d842e474b9fb70dad44035a3b969836f96089d74a946f35,2026-03..2026-08,VERIFIED
