rulebook_id,signal_count_server,signal_count_reference_population,signal_count_match,completed_trade_count_server,completed_trade_count_reference,trade_event_sequence_exact,trade_ledger_fields_exact_or_machine_precision,max_numeric_abs_diff,PF_server,PF_reference,avg_R_server,avg_R_reference,total_R_server,total_R_reference,max_DD_server,max_DD_reference,causal_reproduction_pass
AEGIS-RB-V31-GBPUSD-5M,2825,2825,True,2600,2600,True,True,4.418687638008123e-13,1.4803553737250508,1.4803553737250497,0.23509721658791097,0.2350972165879105,611.2527631285685,611.2527631285673,26.205311475506573,26.20531147550692,True
AEGIS-RB-V35-GBPUSD-5M,2238,2238,True,2060,2060,True,True,3.064215547965432e-13,1.7018831432004442,1.7018831432004435,0.3278296899489546,0.3278296899489543,675.3291612948465,675.3291612948458,12.144862042607272,12.144862042607272,True
