event_i,exit_i,entry,exit,R,reason,signal_datetime,entry_datetime,exit_datetime,duration_bars
28,37,1.27252,1.272915994556675,-1.084999999999883,STOP,2024-01-01 19:20:00,2024-01-01 19:25:00,2024-01-01 20:05:00,9
80,84,1.27135,1.2717626595180205,-1.0850000000000266,STOP,2024-01-01 23:40:00,2024-01-01 23:45:00,2024-01-02 00:00:00,4
136,149,1.27451,1.2711339829856605,3.595601060509423,STOP,2024-01-02 04:20:00,2024-01-02 04:25:00,2024-01-02 05:25:00,13
175,191,1.26484,1.2630750572055516,1.5365132118868796,STOP,2024-01-02 07:35:00,2024-01-02 07:40:00,2024-01-02 08:55:00,16
223,226,1.2614,1.2626213523170104,-1.0850000000000415,STOP,2024-01-02 11:35:00,2024-01-02 11:40:00,2024-01-02 11:50:00,3
252,289,1.26227,1.2617201470683563,0.7096303987104711,STOP,2024-01-02 14:00:00,2024-01-02 14:05:00,2024-01-02 17:05:00,37
377,384,1.2638,1.263193745483977,1.867328499977574,STOP,2024-01-03 00:25:00,2024-01-03 00:30:00,2024-01-03 01:00:00,7
437,454,1.26231,1.2631100057332567,-1.0850000000001292,STOP,2024-01-03 05:25:00,2024-01-03 05:30:00,2024-01-03 06:50:00,17
576,598,1.26661,1.2672418988507013,-1.0850000000001516,STOP,2024-01-03 17:00:00,2024-01-03 17:05:00,2024-01-03 18:50:00,22
607,621,1.26686,1.2662683312383787,1.449027997264087,STOP,2024-01-03 19:35:00,2024-01-03 19:40:00,2024-01-03 20:45:00,14
657,670,1.26709,1.266667842680416,1.1320501680192694,STOP,2024-01-03 23:45:00,2024-01-03 23:50:00,2024-01-04 00:50:00,13
728,733,1.27108,1.270400484707687,0.5527521177472234,STOP,2024-01-04 05:40:00,2024-01-04 05:45:00,2024-01-04 06:05:00,5
742,765,1.26942,1.267724923182603,1.8595860430193636,STOP,2024-01-04 06:50:00,2024-01-04 06:55:00,2024-01-04 08:45:00,23
801,814,1.26901,1.2680202176589714,0.86064871391361,STOP,2024-01-04 11:45:00,2024-01-04 11:50:00,2024-01-04 12:50:00,13
834,838,1.26757,1.2681679292875436,-1.0850000000001494,STOP,2024-01-04 14:30:00,2024-01-04 14:35:00,2024-01-04 14:50:00,4
864,866,1.26852,1.268143683100078,0.7395432572218321,STOP,2024-01-04 17:00:00,2024-01-04 17:05:00,2024-01-04 17:15:00,2
919,929,1.26901,1.268129085505325,2.1634895293333036,STOP,2024-01-04 21:40:00,2024-01-04 21:45:00,2024-01-04 22:30:00,10
945,949,1.26798,1.2677599182973582,0.5930608408820581,STOP,2024-01-04 23:50:00,2024-01-04 23:55:00,2024-01-05 00:10:00,4
1124,1150,1.27256,1.271855212146241,0.7755296463023374,STOP,2024-01-05 14:45:00,2024-01-05 14:50:00,2024-01-05 16:55:00,26
1151,1159,1.27293,1.271551092245631,2.1959809664024146,STOP,2024-01-07 17:00:00,2024-01-07 17:05:00,2024-01-07 17:40:00,8
1168,1174,1.27119,1.2716386876384165,-1.0849999999998363,STOP,2024-01-07 18:25:00,2024-01-07 18:30:00,2024-01-07 18:55:00,6
1209,1222,1.27128,1.2701361480207645,2.6734982313302122,STOP,2024-01-07 21:50:00,2024-01-07 21:55:00,2024-01-07 22:55:00,13
1241,1246,1.27002,1.2703646861634141,-1.0850000000002322,STOP,2024-01-08 00:30:00,2024-01-08 00:35:00,2024-01-08 00:55:00,5
1315,1320,1.26981,1.270653651367208,-1.0849999999998956,STOP,2024-01-08 06:40:00,2024-01-08 06:45:00,2024-01-08 07:05:00,5
1393,1400,1.27516,1.2745857751178489,0.7411586480116339,STOP,2024-01-08 13:10:00,2024-01-08 13:15:00,2024-01-08 13:45:00,7
1417,1428,1.27489,1.2754716745201455,-1.0850000000000872,STOP,2024-01-08 15:10:00,2024-01-08 15:15:00,2024-01-08 16:05:00,11
1460,1463,1.27449,1.274268439665613,0.6569243409484846,STOP,2024-01-08 18:45:00,2024-01-08 18:50:00,2024-01-08 19:00:00,3
1509,1517,1.27559,1.274695958039514,2.2191992301317356,STOP,2024-01-08 22:50:00,2024-01-08 22:55:00,2024-01-08 23:30:00,8
1527,1537,1.27414,1.2745465808306093,-1.0850000000002424,STOP,2024-01-09 00:20:00,2024-01-09 00:25:00,2024-01-09 01:10:00,10
1651,1657,1.27091,1.2694362631979235,1.576795078981878,STOP,2024-01-09 10:40:00,2024-01-09 10:45:00,2024-01-09 11:10:00,6
1684,1689,1.27041,1.2699148981026118,0.5166618239901801,STOP,2024-01-09 13:25:00,2024-01-09 13:30:00,2024-01-09 13:50:00,5
