id,trades,PF,avg_R,total_R
61,882,0.977956736612921,-0.012899823487488467,-11.377644315964828
47,1434,0.9714488764349017,-0.016757371810691136,-24.030071176531088
63,1597,0.9684147448748031,-0.018706117779438317,-29.873670093762993
55,2247,0.9515088038682314,-0.028685167769957203,-64.45557197909383
45,771,0.9494764447626163,-0.030197203642905582,-23.282044008680202
60,1093,0.9451892670192782,-0.03253953496678082,-35.56571171869143
23,2320,0.9423082774195931,-0.03408124133392835,-79.06847989471376
31,1502,0.9385805282624166,-0.036736368188821596,-55.17802501961004
