id,trades,PF,avg_R,total_R
40,1062,1.7342221972327643,0.34670309441554964,368.1986862693137
42,558,1.7126940738748826,0.35122845512157974,195.9854779578415
56,1183,1.6551022463433753,0.3202442135009354,378.84890457160657
41,694,1.6233920846470198,0.30744047856998175,213.36369212756733
58,640,1.6227190335769595,0.3198781185681149,204.72199588359354
26,552,1.604732985719875,0.3024513240138422,166.95313085564092
24,1067,1.59758583423254,0.2889147918230608,308.27208287520585
34,844,1.5895277039512374,0.2883289432361648,243.34962809132313
